"name","pval","adj_pval","f_statistic","df1","df2","lfc"
"YY2",0.968110811308728,0.996758626818612,0.00159858179727095,1,2249.08218817443,0.0618670816478305
"EIF3F",0.968117047195938,0.996758626818612,0.00159795632419725,1,2249.08218817443,-0.0093343989690115
"IPO4",0.968160609184787,0.996758626818612,0.00159359038098379,1,2249.08218817443,0.0593203226925993
"SHTN1",0.968185934963521,0.996758626818612,0.00159105488784926,1,2249.08218817443,0.00761495869318847
"LAPTM5",0.968300880388957,0.996758626818612,0.00157957252689788,1,2249.08218817443,0.00324894889154542
"NDUFAB1",0.968309680246187,0.996758626818612,0.00157869519006936,1,2249.08218817443,-0.0093388960423401
"CUEDC1",0.968422050693382,0.996758626818612,0.00156751343077466,1,2249.08218817443,-0.00939286893873253
"WDFY1",0.968445015489603,0.996758626818612,0.00156523314805999,1,2249.08218817443,-0.00706681007069742
"SMIM10",0.968484142236866,0.996758626818612,0.00156135189811846,1,2249.08218817443,0.0620142777906432
"TP53INP2",0.968490244591844,0.996758626818612,0.00156074699874838,1,2249.08218817443,-0.0294016751903133
"RBMS2",0.968727363157801,0.996758626818612,0.00153733338083658,1,2249.08218817443,-0.0103082340642839
"DNTTIP2",0.968750998886048,0.996758626818612,0.00153500924924018,1,2249.08218817443,0.0119290899597878
"ORC5",0.968815141540174,0.996758626818612,0.00152871089271651,1,2249.08218817443,-0.0142576907278923
"RPL26L1",0.968828760923365,0.996758626818612,0.00152737523433955,1,2249.08218817443,-0.0127002263060276
"NBPF14",0.968874503652199,0.996758626818612,0.00152289350586873,1,2249.08218817443,-0.0150785219587184
"HHLA3",0.968891922743549,0.996758626818612,0.00152118857205722,1,2249.08218817443,-0.0227735848487622
"KCTD10",0.969095640047246,0.996782279413692,0.00150132026412421,1,2249.08218817443,-0.0152377492472909
"SLC16A1",0.969226176982511,0.996782279413692,0.00148865791059782,1,2249.08218817443,0.0161300232830152
"SYT6",0.969396422619672,0.996782279413692,0.00147222442384068,1,2249.08218817443,0.0646389803659003
"MAP3K12",0.969510678097831,0.996782279413692,0.0014612467825343,1,2249.08218817443,0.0256896384454445
"PCNX3",0.969548365330865,0.996782279413692,0.00145763482467176,1,2249.08218817443,-0.0198627551518741
"CLDN23",0.969632495091192,0.996782279413692,0.00144958794716837,1,2249.08218817443,-0.0265470213079121
"MDK",0.969653467465963,0.996782279413692,0.00144758544619762,1,2249.08218817443,0.0268085039884805
"TRABD",0.969690159647771,0.996782279413692,0.00144408530803257,1,2249.08218817443,-0.0108193185747538
"DCAF8",0.969724576135259,0.996782279413692,0.00144080610895275,1,2249.08218817443,0.00904477322065774
"SLC51A",0.9698310368705,0.996782279413692,0.00143068617377259,1,2249.08218817443,-0.0393651070781845
"SPATS2",0.969901122086542,0.996782279413692,0.00142404351543741,1,2249.08218817443,-0.00675273368480248
"SIKE1",0.96990427407577,0.996782279413692,0.00142374513445155,1,2249.08218817443,0.0121348943798544
"WDR25",0.970009162708773,0.996782279413692,0.00141383377628841,1,2249.08218817443,0.021055645593285
"CDKL1",0.970066206670579,0.996782279413692,0.00140845801206177,1,2249.08218817443,-0.0260140880998436
"LMBRD1",0.970079288671669,0.996782279413692,0.00140722662316881,1,2249.08218817443,0.00690776119912844
"UBE2F",0.970353053247137,0.996810762535326,0.00138158130483521,1,2249.08218817443,0.00770119014100845
"RMDN1",0.97040667441383,0.996810762535326,0.00137658591730167,1,2249.08218817443,-0.00984784682705486
"ST3GAL5",0.970429563264147,0.996810762535326,0.00137445633410659,1,2249.08218817443,-0.00738842285969604
